"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Actg1",3.1485276655662e-51,0.969164137598185,1,1,1.01650215682805e-46
"Got1",3.29399766113135e-51,1.41012777721526,0.991,0.845,1.06346714489626e-46
"Atp5a1",3.65016879928775e-51,1.05546908423577,0.997,0.989,1.17845699685005e-46
"Ank2",4.34068681960744e-51,1.44323957826001,0.991,0.834,1.40139073971026e-46
"Atp6v0d1",5.0517510052293e-51,1.32304032170894,0.981,0.862,1.63095781203828e-46
"Zmiz2",6.2910054253609e-51,1.70883188154488,0.95,0.718,2.03105110157777e-46
"Atp5md",6.39460867705729e-51,1.02723510775414,1,1,2.06449941138794e-46
"Atp6v0a1",8.35764681086105e-51,1.48335087491316,0.984,0.834,2.69826627288649e-46
"Saraf",8.48306573985012e-51,1.31633080883587,0.984,0.884,2.73875777411061e-46
"mt-Nd1",9.96742365961401e-51,0.841800197083996,1,1,3.21798272850638e-46
"Pebp1",1.31147795784817e-50,1.120099152143,1,0.967,4.23410658691282e-46
"Rpl9",1.31314687230114e-50,0.814472216661484,1,1,4.23949467722423e-46
"Adgrb1",1.34730712466364e-50,1.33919567410534,0.981,0.884,4.34978105197656e-46
"Rps24",1.35122506119172e-50,0.744124909881982,1,1,4.36243011005745e-46
"Gprasp1",1.43864255372075e-50,1.59747077259718,0.984,0.746,4.64465748468744e-46
"Atp6v1c1",2.22488487163831e-50,1.4221954623318,0.987,0.818,7.18304080808429e-46
"Timm8b",3.89422610696195e-50,1.15854265311031,0.991,0.945,1.25725089863267e-45
"Atp6v0b",4.54462849154694e-50,1.17331537715452,0.991,0.945,1.46723330849593e-45
"Bsn",5.08539680949765e-50,2.04854673102261,0.906,0.591,1.64182035994632e-45
"Cyc1",5.72537102352934e-50,1.27046556199698,0.997,0.906,1.84843603494645e-45
"Npdc1",7.3714911914844e-50,1.51185590475262,0.978,0.79,2.37988593117074e-45
"Wbp2",8.33282025993245e-50,1.2003551813156,0.987,0.945,2.69025102091919e-45
"Syt7",1.05335369534153e-49,1.85430383926266,0.947,0.575,3.40075240541011e-45
"Fxyd7",1.71009539981411e-49,2.21885668156821,0.881,0.608,5.52104299829986e-45
"Synj1",2.17678276221947e-49,1.63667318101544,0.969,0.707,7.02774314782555e-45
"Morf4l1",2.41271163650161e-49,1.07948804837746,0.997,0.972,7.78943951844545e-45
"Ndufc2",3.48415487366332e-49,1.15104903417872,0.994,0.956,1.1248594009622e-44
"Cds2",3.66871568036931e-49,1.56094489657207,0.984,0.729,1.18444485740723e-44
"Fabp3",3.87545196142304e-49,1.83371648099313,0.937,0.657,1.25118966574543e-44
"Ppp2r1a",6.13594638070254e-49,1.14425532877247,1,0.939,1.98099028900981e-44
"Acot7",8.74942109676221e-49,1.4112936897485,0.994,0.84,2.82475060108968e-44
"Ptprs",8.77116119990473e-49,1.60295839823561,0.962,0.707,2.83176939338924e-44
"Ndufb8",1.55844971916355e-48,1.07470407965408,1,0.994,5.03145491831953e-44
"Cabp1",1.80925993070021e-48,2.24361061150862,0.897,0.575,5.84119568626563e-44
"Hk1",1.90616381449759e-48,1.64487185010425,0.966,0.707,6.15404987510548e-44
"Fkbp3",1.9079634492474e-48,1.44709876473106,0.987,0.818,6.15985999589524e-44
"Scamp5",2.02160938643654e-48,1.40137013601856,0.987,0.801,6.52676590411036e-44
"Ndufs5",2.03809555921362e-48,1.07242615999048,1,0.967,6.57999151292118e-44
"Rpl38",2.06255331017159e-48,0.757436747702118,1,1,6.65895336188897e-44
"Ubb",2.28889063559444e-48,0.926819987336362,1,0.994,7.38968341701665e-44
"Atp5d",2.32486443230004e-48,1.13280418783977,0.997,0.978,7.50582481968067e-44
"Gabbr2",2.59146308991801e-48,2.17675112717479,0.871,0.586,8.36653858580029e-44
"Nrxn1",2.89712273982533e-48,1.71629778475685,0.966,0.702,9.35336076552609e-44
"Dpp10",4.07553667988673e-48,2.61983858562563,0.868,0.298,1.31578701710143e-43
"Nptx1",4.6387379388338e-48,2.86463963608242,0.806,0.331,1.49761654355249e-43
"Trim9",7.10141849745104e-48,1.69607836953784,0.953,0.735,2.29269296190207e-43
"Eif5a",9.43715418550026e-48,1.13433898511729,1,0.939,3.04678522878876e-43
"Mif",1.05676575092641e-47,1.02759269232759,0.997,0.989,3.41176822686593e-43
"Meg3",1.06958713569974e-47,1.28216442075897,1,0.934,3.4531620676066e-43
"Pgk1",1.12186185579151e-47,1.18831463099835,1,0.945,3.6219310014229e-43
"Tubb4b",1.22794544444704e-47,1.37442003729043,0.991,0.884,3.96442186739728e-43
"Mapk10",1.66437853666852e-47,1.74905063078286,0.944,0.718,5.37344610563433e-43
"Ndufb6",1.73494023241608e-47,1.25545788016396,0.981,0.912,5.60125454035532e-43
"Pomp",2.59771196799348e-47,1.31385478747698,0.987,0.862,8.38671308866696e-43
"Baalc",2.59976448302952e-47,1.79135567298367,0.944,0.602,8.3933396334608e-43
"Kalrn",2.69415999232812e-47,2.07200928362469,0.9,0.564,8.69809553523132e-43
"Pfkm",2.95538268359307e-47,1.30041497261868,1,0.89,9.54145299398022e-43
"Eno2",3.97685266830815e-47,1.20744140743143,1,0.923,1.28392688396328e-42
"Ctsb",4.30168240707163e-47,1.07309540713497,0.994,0.967,1.38879816512307e-42
"Mdh1",4.57788376136965e-47,1.13883077468036,1,0.967,1.47796977235819e-42
"Dynll1",4.99567794881723e-47,1.19227831632854,0.997,0.972,1.61285462577564e-42
"Rpl32",5.55700238760303e-47,0.772487524369232,1,1,1.79407822083764e-42
"Rangap1",6.56433609742598e-47,1.55778195742435,0.959,0.702,2.11929590905398e-42
"Rtn1",7.36846094262872e-47,1.3037644393245,1,0.978,2.37890761532768e-42
"Elob",7.41527816020172e-47,0.917680350258243,1,0.989,2.39402255402112e-42
"Abhd8",7.66510921189027e-47,1.40772558516058,0.969,0.862,2.47468050905877e-42
"Sptbn2",7.99635955288392e-47,1.51329449297571,0.981,0.829,2.58162468164857e-42
"Atp5j",9.38709694992446e-47,0.963285589411492,1,0.989,3.03062425028311e-42
"Cyfip2",1.15354193540376e-46,1.4021349353279,0.987,0.862,3.72421013845103e-42
"Rpl37",1.29152420626323e-46,0.729246683464821,1,1,4.16968589992085e-42
"Chchd2",1.63429098910601e-46,0.966813160887397,1,0.989,5.27630845832875e-42
"Zcchc18",2.33345602637558e-46,1.31964269961727,0.987,0.818,7.53356278115357e-42
"Dnajb6",2.65595916665106e-46,1.54151436662316,0.962,0.746,8.57476416953293e-42
"Rsrp1",2.92857945730729e-46,1.44144428589094,0.975,0.823,9.45491877791659e-42
"Rph3a",3.08208231410686e-46,2.04085445000261,0.884,0.619,9.95050275109401e-42
"R3hdm1",3.10432879566035e-46,1.96846947405247,0.922,0.591,1.00223255167894e-41
"Atp5f1",3.24183669670082e-46,1.15211636186369,0.997,0.967,1.04662697752986e-41
"Dnajc6",3.265256300402e-46,1.62138626505984,0.953,0.746,1.05418799658479e-41
"Dctn2",3.67840683446435e-46,1.37210772606741,0.987,0.829,1.18757364650681e-41
"mt-Atp6",3.97448064532847e-46,0.786305702786322,1,1,1.2831610763443e-41
"Sptbn1",4.13891006406652e-46,1.09223546434676,0.994,0.928,1.33624711418388e-41
"Cend1",4.34886631328949e-46,1.47566593520523,0.969,0.818,1.40403148924551e-41
"Ndufb4",7.58994268764394e-46,1.06291848922551,0.991,0.983,2.45041299670585e-41
"Rpl13",7.77408669133329e-46,0.770724459464659,1,1,2.50986388829695e-41
