"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmem60",1.58815670645459e-09,0.909528623460481,0.724,0.475,5.12736392678864e-05
"Chchd1",1.59060785093762e-09,0.68245971491456,0.931,0.746,5.13527744675211e-05
"1810037I17Rik",1.59081525973561e-09,0.523672122015359,0.959,0.901,5.13594706605643e-05
"Zdhhc16",1.60485969422034e-09,1.5115568696099,0.448,0.177,5.18128952279036e-05
"Tmem131",1.62054716677041e-09,0.971268107405142,0.661,0.431,5.23193652791828e-05
"Tmem121",1.62837145888812e-09,1.35537962673589,0.511,0.227,5.25719725502029e-05
"Arxes1",1.65260493414944e-09,1.04916674245487,0.63,0.392,5.33543502990146e-05
"Bex1",1.6565809703948e-09,0.824132788766012,0.818,0.575,5.34827166291961e-05
"2900040C04Rik",1.66451347808096e-09,-4.13949482156903,0.022,0.149,5.37388176398439e-05
"Usp47",1.66466793113337e-09,0.997544639010375,0.668,0.414,5.37438041566409e-05
"Umad1",1.66471018153547e-09,1.03658240685488,0.633,0.425,5.37451682108726e-05
"Tmem163",1.67933093536850e-09,1.5853979402966,0.433,0.204,5.42171992483719e-05
"Zfp871",1.69526430636853e-09,0.985894279271449,0.687,0.425,5.47316081311078e-05
"Chchd4",1.703989010974e-09,0.925524970281384,0.708,0.486,5.50132852192957e-05
"Tnks",1.71248712523133e-09,1.13498611091588,0.602,0.359,5.52876468380936e-05
"Sap30l",1.71332390393067e-09,1.05279799290174,0.63,0.403,5.53146622384016e-05
"Nsd3",1.72408325981864e-09,1.01556899897833,0.649,0.398,5.56620280432447e-05
"Abcb7",1.72784721515802e-09,1.57836194964948,0.433,0.188,5.57835473413768e-05
"Lman2",1.74452656470391e-09,1.03842297062682,0.655,0.376,5.63220401414657e-05
"Sac3d1",1.75541743101901e-09,1.28730239117229,0.52,0.287,5.66736517604487e-05
"Chfr",1.75867937378407e-09,1.5043613682057,0.448,0.204,5.67789635826187e-05
"Ambra1",1.76052248748832e-09,1.21177723490048,0.567,0.282,5.68384685085604e-05
"Commd7",1.76347896393335e-09,1.17223750621245,0.577,0.293,5.69339183505883e-05
"Ube3c",1.7716994331427e-09,0.923699004918168,0.718,0.475,5.7199316199012e-05
"Hs6st1",1.78679765359826e-09,1.12032777137611,0.605,0.326,5.76867622464199e-05
"Fzd3",1.7937985663262e-09,0.94324560943891,0.69,0.464,5.79127867138414e-05
"Trim46",1.79455905277915e-09,0.899460020431211,0.727,0.481,5.79373390189748e-05
"1700001L19Rik",1.79498134343441e-09,1.8787568829872,0.379,0.127,5.79509726727799e-05
"Prdx3",1.80019490250864e-09,0.811629745199869,0.777,0.597,5.81192924274915e-05
"Cbfa2t3",1.80074136749243e-09,2.16332445037063,0.342,0.094,5.8136935049493e-05
"Tox",1.80599894143094e-09,2.78909084513881,0.307,0.05,5.8306675824098e-05
"Timm29",1.82703411004932e-09,0.997401379485815,0.683,0.414,5.89857962429422e-05
"Arhgef3",1.83380530385465e-09,1.21661038863642,0.564,0.304,5.92044042349472e-05
"Arhgef1",1.83498782329837e-09,1.41273089274013,0.464,0.232,5.92425818751879e-05
"Tspyl2",1.83760958098159e-09,1.12876460852475,0.614,0.326,5.93272253219906e-05
"Hipk3",1.85079829209789e-09,0.997544639010375,0.661,0.448,5.97530228603803e-05
"Stk11",1.85189707954686e-09,0.843257788554801,0.746,0.53,5.97884972131703e-05
"Plekha6",1.88413169101489e-09,1.19201932214753,0.555,0.304,6.08291916444159e-05
"Txndc11",1.8901108049045e-09,1.36077051457685,0.502,0.249,6.10222273363418e-05
"Ncoa4",1.89911198701706e-09,0.869802923013064,0.74,0.552,6.13128305008457e-05
"Zfp580",1.90089984092298e-09,0.968675208222742,0.652,0.431,6.13705513641983e-05
"Klhl12",1.9165277842012e-09,1.31869896340942,0.508,0.265,6.18750995129357e-05
"Tbc1d17",1.91879986033631e-09,1.05012598121421,0.633,0.392,6.19484534909579e-05
"Kbtbd2",1.93508982865881e-09,1.00722278871196,0.652,0.392,6.24743751182498e-05
"Ddx42",1.9367110806927e-09,1.04345686016953,0.639,0.365,6.25267172401637e-05
"Zfp512b",1.93703331884244e-09,1.2811672269037,0.536,0.254,6.2537120698828e-05
"Prxl2a",1.95337528558738e-09,0.66601875366441,0.878,0.729,6.30647210951886e-05
"Ythdc1",1.9555989875821e-09,1.04209019704586,0.63,0.37,6.31365133140882e-05
"Aftph",1.95739565716901e-09,1.04916674245487,0.639,0.392,6.31945187917016e-05
"Snhg14",1.95867517407232e-09,1.39837067251748,0.495,0.21,6.32358279949248e-05
"Adgrb3",1.95936395377133e-09,0.865385564730587,0.752,0.53,6.32580652475073e-05
"Lrrc58",1.9620755993572e-09,0.754947939776691,0.821,0.641,6.33456107252473e-05
"U2af1",1.9778097882698e-09,0.789090845138811,0.781,0.591,6.38535890142905e-05
"Cnpy3",2.02120131081618e-09,0.981102467509718,0.665,0.442,6.52544843197002e-05
"Zfp787",2.02611204895268e-09,1.83954555979533,0.382,0.127,6.54130275004372e-05
"Sf3b4",2.04204541302109e-09,0.987896136034732,0.665,0.398,6.5927436159386e-05
"Sec24b",2.04324749359742e-09,1.13260211736633,0.583,0.337,6.59662453307927e-05
"Ddt",2.04472159742545e-09,0.828073137386891,0.781,0.608,6.60138367728806e-05
"Atp8a2",2.04863153385954e-09,1.49730661067175,0.455,0.204,6.61400690706552e-05
"Nob1",2.05215071248215e-09,1.24954746917687,0.539,0.271,6.62536857524861e-05
"Nfyb",2.05676881662477e-09,1.16357424606702,0.574,0.326,6.64027812447308e-05
"Rbmxl1",2.10318339570967e-09,1.00840387354329,0.636,0.442,6.79012759304866e-05
"Fam104a",2.11243192137489e-09,0.922340142796665,0.693,0.508,6.81998645815884e-05
"Vma21",2.13032475027337e-09,0.845907802218016,0.759,0.564,6.87775345625757e-05
"Iffo1",2.14766778577971e-09,1.13196820633535,0.586,0.337,6.9337454463898e-05
"Tmem62",2.15037709854809e-09,1.3707368040755,0.495,0.243,6.94249246266252e-05
"Dnlz",2.15277988479261e-09,0.692107646735255,0.906,0.702,6.95024985805296e-05
"Uap1",2.16433511847402e-09,1.11008242909365,0.614,0.348,6.98755592999337e-05
"Srr",2.18848426447732e-09,1.17291049919983,0.571,0.309,7.06552144786502e-05
"Lpcat1",2.19743585252939e-09,1.22486853963873,0.539,0.309,7.09442164989113e-05
"Apmap",2.20202771093143e-09,1.0780966135036,0.618,0.381,7.10924646474212e-05
"Tnpo1",2.20589612892292e-09,1.23607123692041,0.549,0.276,7.12173565222763e-05
"1110032A03Rik",2.21604511212276e-09,0.945182893254775,0.712,0.442,7.15450164448834e-05
"Rab10",2.28699864166768e-09,0.669548450641347,0.9,0.757,7.38357511462411e-05
"Anp32e",2.29563908982963e-09,0.882147472187971,0.737,0.564,7.41147080151496e-05
"Tex264",2.29783254170438e-09,0.755789154391509,0.828,0.635,7.41855236089258e-05
"Rit2",2.31563093086765e-09,0.752812450895055,0.837,0.613,7.47601446030621e-05
"Ubfd1",2.32109407321237e-09,1.10565203883085,0.599,0.343,7.49365221536613e-05
"Gnptg",2.34294348642178e-09,0.790479387152533,0.803,0.586,7.56419304591273e-05
"Klhl9",2.34569538264279e-09,0.870174371216928,0.768,0.503,7.57307754286224e-05
"Mcoln1",2.35302607514956e-09,1.62100628705797,0.414,0.182,7.59674468362034e-05
"Srprb",2.36760970167027e-09,1.17734439664554,0.561,0.326,7.64382792184248e-05
"Eif3l",2.37563114230504e-09,0.80413632085451,0.787,0.575,7.66972514293183e-05
"Mrpl2",2.38208637342498e-09,1.02131228370947,0.649,0.392,7.69056585660254e-05
"Snx13",2.39028586691525e-09,1.0320990002339,0.649,0.392,7.71703792133589e-05
"Lyrm9",2.39379570102344e-09,1.47041403628236,0.467,0.188,7.72836942075417e-05
"Pias2",2.39595895275366e-09,1.41125196381422,0.476,0.215,7.73535347896519e-05
"Tecpr2",2.40088483021071e-09,1.30406271771987,0.508,0.254,7.75125667433529e-05
"Slc30a4",2.41655039347231e-09,1.32626904589199,0.511,0.265,7.80183294532535e-05
"Nrip2",2.46445984779819e-09,2.12729171912587,0.329,0.105,7.95650861861644e-05
"Acss2",2.48429133419428e-09,1.22076139197744,0.536,0.315,8.02053457244623e-05
"Clic6",2.49233973522137e-09,-2.42975069613784,0.078,0.254,8.04651883516219e-05
"Snx4",2.50894848248975e-09,1.17265225252575,0.574,0.298,8.10014017571817e-05
"Ccdc59",2.57237881825168e-09,1.19780849920525,0.533,0.315,8.30492501472555e-05
"Gm47163",2.59121543680493e-09,1.75961842344777,0.392,0.133,8.36573903772473e-05
"Crls1",2.60014484839035e-09,1.20910122378042,0.558,0.298,8.39456764302823e-05
"Mtfr1l",2.62155042310473e-09,0.852543892728291,0.755,0.541,8.46367554099362e-05
"Galnt11",2.63365567004727e-09,1.33102976532014,0.495,0.232,8.50275733074762e-05
"Nt5c3b",2.63817800650368e-09,1.04916674245487,0.63,0.365,8.51735769399715e-05
"Zmat5",2.64464578103586e-09,1.19315967991139,0.558,0.309,8.53823890407429e-05
"Ndufaf3",2.64850815775371e-09,0.81248366356803,0.784,0.591,8.55070858730787e-05
"Nanp",2.65605250928671e-09,1.62300586470432,0.429,0.16,8.57506552623213e-05
"Scrn1",2.66261206038348e-09,0.716280458312638,0.884,0.68,8.59624303694806e-05
"Mtmr1",2.67213164357365e-09,1.33997455030482,0.505,0.227,8.62697701127753e-05
"Tmbim6",2.67734367249272e-09,0.466437737866634,0.984,0.961,8.64380404664274e-05
"Tbpl1",2.70712267734224e-09,1.26458231467221,0.517,0.265,8.73994556379942e-05
"Nxph1",2.71207529539912e-09,1.56994970983328,0.426,0.199,8.75593509119605e-05
"Map4k2",2.73612205227735e-09,1.02131228370947,0.636,0.381,8.83357004577743e-05
"Ecpas",2.7543369606866e-09,1.10489667284732,0.596,0.337,8.89237687757669e-05
"2810455O05Rik",2.76755977121882e-09,1.41509403010861,0.476,0.227,8.93506672137995e-05
"Ralbp1",2.78559336624547e-09,0.944427661976065,0.693,0.453,8.99328818292352e-05
"Bop1",2.80728171440125e-09,1.17711947342187,0.555,0.304,9.06330901494443e-05
"Sema4f",2.81391398039461e-09,1.47661637772279,0.461,0.204,9.08472128570398e-05
"Lias",2.8170033497934e-09,1.16666595746002,0.552,0.32,9.09469531480799e-05
"Nuak1",2.83214842939654e-09,1.49778871428221,0.451,0.221,9.14359120430672e-05
"Pabpc4",2.83775555419622e-09,1.49148007690897,0.458,0.204,9.16169380672249e-05
"Shroom2",2.84004963032076e-09,0.82599042795034,0.774,0.602,9.16910023149056e-05
"Slc6a8",2.85859670248013e-09,0.896872298467934,0.727,0.486,9.22897945395709e-05
"Rc3h2",2.86423396777997e-09,0.929916739398541,0.693,0.459,9.24717936497762e-05
"Vbp1",2.88052801282011e-09,0.800978374563873,0.784,0.602,9.29978468938972e-05
"Ints10",2.89953329907795e-09,1.05844455604288,0.608,0.354,9.36114325607315e-05
"Zfp239",2.9531303410737e-09,1.15818572707166,0.552,0.32,9.53418130615646e-05
"Zfp148",2.95483009768526e-09,0.958620177282261,0.705,0.425,9.53966897037685e-05
"Wdr45",2.96117153175322e-09,1.05118874004008,0.63,0.376,9.56014229026526e-05
"Ylpm1",2.96246094341453e-09,1.05335332415341,0.649,0.398,9.56430515581383e-05
"Rp9",2.96478798415232e-09,1.00744686187245,0.63,0.436,9.57181800683575e-05
"Trappc5",2.97882737634383e-09,0.980799412148686,0.677,0.409,9.61714418452605e-05
"Mrps15",3.0202834288105e-09,0.907506971415582,0.702,0.514,9.75098504991472e-05
"Csk",3.03553460221743e-09,1.2038069241109,0.542,0.309,9.80022346325897e-05
"Fgfr1op2",3.03717836507543e-09,0.884242422070926,0.743,0.53,9.80553035164602e-05
"Tcp11l2",3.0587858975462e-09,1.47905027967651,0.455,0.227,9.87529027022791e-05
"Krit1",3.07676542585159e-09,1.24790711079562,0.533,0.309,9.93333717736185e-05
"Memo1",3.08052949830324e-09,1.41125196381422,0.464,0.232,9.94548948527202e-05
"Ro60",3.08995453225905e-09,1.20910122378042,0.549,0.293,9.97591820739835e-05
"Ppp6r2",3.11879624154136e-09,1.33299294989372,0.48,0.249,0.000100690336658163
"Dut",3.16944371619837e-09,1.01396186901752,0.633,0.37,0.000102325490377464
"Dop1b",3.17925942649627e-09,1.13865158129042,0.583,0.348,0.000102642390584432
"Tmed8",3.17937852604109e-09,1.4204225497058,0.473,0.193,0.000102646235713237
"Cers4",3.2035831742334e-09,1.40276322819789,0.476,0.204,0.000103427682780125
"Ppargc1a",3.22140375648569e-09,1.43190957385741,0.464,0.243,0.00010400302027814
"Spag7",3.22638913701167e-09,0.808974877790891,0.774,0.541,0.000104163973288422
"Chtop",3.23677583148274e-09,0.674058976623521,0.865,0.729,0.00010449930771942
"Sacs",3.23838226318518e-09,1.12510009825238,0.58,0.331,0.000104551171366934
"Safb2",3.25470841126801e-09,0.991827340649539,0.661,0.392,0.000105078261057788
"Nploc4",3.31396341817427e-09,1.17711947342187,0.555,0.309,0.000106991308955756
"Nus1",3.32002381823423e-09,0.85759358301107,0.759,0.508,0.000107186968971692
"Ddit3",3.37841359740753e-09,0.944569443219448,0.69,0.486,0.000109072082992302
"Nt5c2",3.38491436656101e-09,0.974440231042504,0.649,0.414,0.000109281960324422
"Arfgef2",3.40908165947868e-09,1.24562709980553,0.533,0.298,0.000110062201376269
"Naa35",3.41423134448878e-09,1.13352367283739,0.577,0.304,0.00011022845895682
"Trmt2a",3.41620412015607e-09,1.43036078676192,0.461,0.199,0.000110292150019239
"Aars2",3.429697417145e-09,1.46352765069712,0.455,0.221,0.000110727781112526
"Parva",3.45012597296195e-09,1.29261619106876,0.517,0.271,0.000111387317037077
"Pfn1",3.45407067344425e-09,0.579825253002943,0.94,0.912,0.000111514671692148
"Tsr1",3.52140328778702e-09,1.71676970096952,0.395,0.133,0.000113688505146204
"B4galt3",3.53745942096773e-09,1.14636401861081,0.577,0.337,0.000114206877405943
"Usp10",3.65568669839444e-09,1.08575725390666,0.592,0.337,0.000118023845057665
"Ccdc9",3.6815962242287e-09,1.55040873572514,0.436,0.166,0.000118860334099224
"Nacc1",3.73421094655844e-09,1.13907690412395,0.567,0.337,0.000120559000409639
"Ndnf",3.74470309370778e-09,3.00005653082977,0.27,0.05,0.000120897739380356
"Prkcsh",3.75200033896082e-09,0.811450954117428,0.784,0.586,0.00012113333094335
"Ppfibp1",3.75847035156898e-09,1.88730523777469,0.364,0.127,0.000121342215300405
"Sos1",3.77231121093442e-09,1.35851050174224,0.476,0.238,0.000121789067445018
"Metap2",3.78946029667381e-09,0.759080505827488,0.806,0.591,0.000122342725678114
"Sf3b3",3.79869208181891e-09,0.912167298253466,0.693,0.481,0.000122640773861524
"Usp31",3.80974875558809e-09,0.95182034517692,0.671,0.442,0.000122997738574161
"Nudt21",3.81083854248977e-09,0.936077608631173,0.699,0.459,0.000123032922344282
"Fam135b",3.81221480871175e-09,1.68493361384752,0.401,0.149,0.000123077355099259
"Acat1",3.81652218379628e-09,0.719806315521232,0.846,0.646,0.000123216418703863
"Taf1",3.84600786950678e-09,1.25979215602458,0.524,0.254,0.000124168364067026
"Wdr45b",3.85892012261661e-09,0.891131142461737,0.708,0.475,0.000124585236158677
"Fam160a2",3.91264484986689e-09,1.06591926459191,0.605,0.337,0.000126319738977953
"Gdpd1",3.96281346841765e-09,1.20412834441765,0.545,0.276,0.000127939432827864
"Ints3",3.96831740046472e-09,0.985575944089026,0.639,0.403,0.000128117127274004
"Phf20",3.97640884306302e-09,0.993904303848172,0.646,0.403,0.00012837835949829
"Ssrp1",3.98328041786438e-09,0.875771935084284,0.724,0.508,0.000128600208290751
"Ppp1r1a",3.98882091365871e-09,0.648307985160403,0.934,0.829,0.000128779083197472
"C130074G19Rik",4.0011730866258e-09,2.37357476067034,0.304,0.072,0.000129177873101714
"Slc9a3r2",4.02022268966589e-09,1.07320420356358,0.63,0.381,0.000129792889535863
"Pcdh19",4.09428709386128e-09,1.83693670729257,0.379,0.122,0.000132184058825311
"Prr36",4.09921878332619e-09,1.9226739995174,0.37,0.116,0.000132343278419686
"Klhdc8a",4.1358293910219e-09,1.64875127754087,0.411,0.177,0.000133525251889142
"Yipf1",4.15209613611211e-09,1.02872385792288,0.639,0.348,0.00013405042375438
"Spaca6",4.18001483527417e-09,1.88287299145943,0.357,0.122,0.000134951778956827
"Zfp260",4.20243311931127e-09,1.09555582263837,0.58,0.343,0.000135675553256964
"Sugp2",4.20606823506895e-09,1.19270160877216,0.549,0.298,0.000135792912969201
"Mfsd12",4.22703192834845e-09,1.74947386604223,0.398,0.138,0.00013646972580673
"Mrpl45",4.23627296561382e-09,1.03298588477704,0.614,0.381,0.000136768072694842
"Mir22hg",4.2445927447678e-09,1.42705564203825,0.473,0.204,0.000137036676764828
"Lmbr1",4.25759883909606e-09,1.68766858156876,0.404,0.149,0.000137456578520216
"Brpf1",4.28655180161225e-09,1.69077449243658,0.401,0.138,0.000138391324915051
"H13",4.29112034452439e-09,0.921781518795536,0.702,0.453,0.00013853882032297
"Nxph3",4.30537516656577e-09,2.28196894686925,0.301,0.083,0.000138999037252576
"Maneal",4.36502691637887e-09,1.02881008420512,0.633,0.376,0.000140924893995292
"Foxj3",4.37603744741612e-09,1.25853625240413,0.511,0.271,0.00014128036898983
"Nop53",4.43240821324162e-09,0.807141952832249,0.765,0.552,0.000143100299164506
"Ppil2",4.43381092994257e-09,0.86384089099423,0.708,0.514,0.000143145585873196
"Pnma2",4.44970728752535e-09,1.24046539468975,0.53,0.276,0.000143658799777756
"1700021F05Rik",4.47273083263419e-09,1.20910122378042,0.533,0.298,0.000144402114931595
"Pank4",4.47374728100567e-09,1.24604937261431,0.539,0.271,0.000144434930967268
"2610001J05Rik",4.47810894684892e-09,1.01831389355723,0.611,0.398,0.000144575747349017
"Dip2c",4.50379872867875e-09,1.13831072008603,0.571,0.354,0.000145405141955394
"Ndufaf7",4.50967041387952e-09,1.06948868734159,0.605,0.343,0.0001455947093121
"Mfsd5",4.53802178401972e-09,1.10299880582393,0.574,0.359,0.000146510033297077
"Zfp330",4.56064124405306e-09,1.4411675417185,0.448,0.21,0.000147240302564253
"Rprd2",4.62832418617691e-09,1.41375881942479,0.451,0.238,0.000149425446350722
"Gon4l",4.65708246245076e-09,1.15643806478539,0.567,0.298,0.000150353907300223
"Ufd1",4.69579368769669e-09,0.896129088161695,0.702,0.481,0.000151603699207288
"Gjb6",4.72695788889635e-09,1.23802559928165,0.549,0.254,0.000152609835443019
"Tmpo",4.74072037995782e-09,1.30000286969951,0.502,0.249,0.000153054157466938
"Tug1",4.74243467701499e-09,0.954071445139322,0.674,0.431,0.000153109503547429
"Zfp664",4.78895664900148e-09,0.864536932450024,0.724,0.519,0.000154611465413013
"Acaa1a",4.80160186846191e-09,0.831267957205877,0.743,0.558,0.000155019716323293
"Rnf145",4.83519810203735e-09,0.860505178430974,0.743,0.497,0.000156104370724276
"Dock9",4.85923908113748e-09,1.25614295950135,0.527,0.271,0.000156880533734523
"Cby1",4.8639354027831e-09,1.08055365929912,0.624,0.32,0.000157032154478853
"Paip2b",4.97688724708631e-09,1.0449297495684,0.618,0.376,0.000160678804772182
"March9",4.98462951185767e-09,1.21805718304906,0.536,0.271,0.000160928763790325
"mt-Atp8",4.99955540162856e-09,0.468459321778359,0.987,0.956,0.000161410646141578
"Nrd1",5.01040510551592e-09,0.831526111459208,0.752,0.541,0.000161760928831581
"N4bp2l1",5.01084792464049e-09,1.34921171944378,0.492,0.204,0.000161775225247018
"Hdac6",5.01414014253343e-09,1.19383803659059,0.558,0.293,0.000161881514501692
"Ccdc22",5.03749578868043e-09,1.40482569465478,0.48,0.182,0.000162635551537548
"Yif1b",5.04645430310305e-09,0.91826243966612,0.671,0.503,0.000162924777175682
"Brd4",5.05089914508912e-09,1.03532897928613,0.621,0.387,0.000163068278899202
"Bcor",5.10828193905942e-09,1.5115568696099,0.429,0.193,0.000164920882402533
"Tmem214",5.19125145957678e-09,1.04990918781351,0.611,0.37,0.000167599553372436
"Lrrc49",5.20884486703937e-09,0.920525532938826,0.687,0.459,0.000168167556532366
"Cog6",5.28082566497547e-09,1.40950218186426,0.48,0.193,0.000170491456593733
"Pigu",5.28805346121219e-09,1.57671221243038,0.423,0.16,0.000170724805995235
"Cdv3",5.30711478688641e-09,0.954711348171229,0.658,0.431,0.000171340200894628
"Rae1",5.33429991656492e-09,1.09601852150086,0.602,0.309,0.000172217872806298
"Faim",5.37938534253611e-09,1.24436102246154,0.517,0.265,0.000173673455783778
"Ncoa7",5.41218431178800e-09,1.02406767764975,0.633,0.409,0.000174732370506075
"Skiv2l",5.41916339933751e-09,1.01714865876793,0.639,0.37,0.000174957690347611
"Mrps11",5.46775110329477e-09,0.981989824815533,0.649,0.392,0.000176526344369872
"Mcrip2",5.48640734671262e-09,1.42705564203825,0.455,0.21,0.000177128661188617
"Mrs2",5.51977238894216e-09,1.04782880760901,0.614,0.359,0.000178205851576998
"Dnmt1",5.52717501930539e-09,1.39115075775771,0.458,0.232,0.000178444845498274
"Vps13c",5.52861249518501e-09,1.75846264926948,0.376,0.144,0.000178491254407048
"Bclaf1",5.56222079256465e-09,0.86975749166917,0.712,0.497,0.00017957629828795
"Nol3",5.5799220367159e-09,1.38406713448799,0.464,0.238,0.000180147782955373
"Dusp26",5.61181741818139e-09,0.734380716811529,0.809,0.657,0.000181177525345986
"Ankrd12",5.65877860874279e-09,1.03987924339216,0.621,0.343,0.000182693667383261
"D630045J12Rik",5.73635683638985e-09,1.40061344336787,0.467,0.221,0.000185198280462846
"Casp9",5.74490066106079e-09,1.91282621356106,0.364,0.11,0.000185474117842348
"Nr2c2ap",5.7521912582643e-09,1.38537333198861,0.476,0.238,0.000185709494773063
"Ppp1r10",5.75274847058503e-09,1.24436102246154,0.511,0.254,0.000185727484372838
"Arhgap39",5.78673254884268e-09,1.3387092132488,0.489,0.243,0.000186824660339386
"Gk",5.93531900299962e-09,1.97994040941959,0.361,0.099,0.000191621774011843
"Clpx",5.95379249751063e-09,1.26109021719333,0.505,0.265,0.000192218190782131
"Dpp3",5.96902469700972e-09,1.22196163750497,0.52,0.293,0.000192709962342959
"Cdh4",5.99475008692983e-09,2.23167679233819,0.317,0.083,0.00019354050655653
"Prepl",6.05149563180087e-09,1.57878620933225,0.423,0.149,0.000195372536472691
"Gsn",6.16106596094249e-09,-0.807718940725317,0.674,0.768,0.000198910014549028
"Stam",6.20794155344085e-09,0.947143857967446,0.636,0.448,0.000200423393052838
"Setd1b",6.23029370341853e-09,1.57878620933225,0.42,0.16,0.000201145032214867
"Ctnnd1",6.24202349510263e-09,1.41216766999595,0.455,0.21,0.000201523728539388
"Hexdc",6.24341701495244e-09,1.40263148124187,0.458,0.21,0.000201568718327739
"Ttc19",6.24944393850798e-09,0.96588065588934,0.677,0.392,0.00020176329755473
"Mypop",6.25241882613591e-09,1.06826225339902,0.599,0.365,0.000201859341801798
"Atg3",6.25414906566359e-09,0.857161735356603,0.727,0.475,0.000201915202584949
"Myo9a",6.26639672935012e-09,1.04327052564671,0.592,0.381,0.000202310618407069
"Hs3st4",6.28494302097463e-09,1.12155103117131,0.599,0.42,0.000202909385432166
"Ercc3",6.28564261775683e-09,1.77627392538594,0.37,0.138,0.000202931971914279
"Mrpl32",6.37422648013001e-09,1.04778374662355,0.614,0.354,0.000205791901910998
"Ddhd2",6.42540518423297e-09,1.14537117909679,0.545,0.304,0.000207444206372961
"Med30",6.61551859146726e-09,1.08138136732004,0.596,0.387,0.00021358201772552
"Tmem170b",6.626561931437e-09,0.96588065588934,0.652,0.453,0.000213938551956444
"March2",6.63939593597117e-09,0.775049346582927,0.777,0.63,0.000214352897792829
"Slc25a14",6.70398806158212e-09,0.908258309879342,0.683,0.486,0.000216438254568179
"Foxg1",6.74356245471442e-09,0.728257380132534,0.856,0.641,0.000217715913850455
"Yjefn3",6.80807827039201e-09,1.61539268059444,0.423,0.193,0.000219798806959606
"Fam160b1",6.85705962130173e-09,1.48140021976239,0.442,0.171,0.000221380169873726
"Ankrd34b",6.86422743151729e-09,1.98978819537594,0.345,0.11,0.000221611582626536
"Fyn",6.87554204323709e-09,0.753975258277171,0.803,0.685,0.000221976874865909
"Slc25a28",6.91279145940835e-09,1.11384618806092,0.567,0.32,0.000223179472266998
"Rabgef1",7.00243656318207e-09,1.29371660685208,0.498,0.243,0.000226073664442333
"Cthrc1",7.07128601628745e-09,2.27554267770982,0.32,0.077,0.00022829646903584
"Tomm40l",7.12153509000379e-09,0.858676281028781,0.743,0.481,0.000229918760380772
"Comt",7.12575868195253e-09,0.702188643945614,0.862,0.707,0.000230055119046837
"Unc50",7.16338688209886e-09,0.794195833383207,0.771,0.547,0.000231269945488562
"Poldip3",7.21720158196502e-09,1.21805718304906,0.514,0.265,0.000233007353073741
"Brd3",7.31367795606655e-09,1.20445957964833,0.536,0.282,0.000236122092811609
"Dr1",7.43115702685781e-09,1.25282260120973,0.505,0.265,0.000239914904612104
"Rabif",7.44586873107076e-09,1.46254119251107,0.445,0.182,0.000240389871982619
"Hsf1",7.45850066006814e-09,1.15605785789404,0.561,0.293,0.0002407976938103
"Inafm1",7.51050770858159e-09,1.01345710126957,0.627,0.381,0.000242476741371557
"Phlda1",7.60957143812942e-09,1.08317164194526,0.589,0.409,0.000245675013880008
"Cdk11b",7.67354325195989e-09,0.798544472610156,0.755,0.575,0.000247740343889525
"Endog",7.70471651246438e-09,1.12103272865419,0.574,0.287,0.000248746772604913
"Rufy2",7.76879988877491e-09,1.30000286969951,0.483,0.243,0.000250815704409098
"Kmt2b",7.7742082731826e-09,1.28445421025884,0.502,0.243,0.0002509903140997
"Gm14296",7.80346492058593e-09,1.74230479307666,0.373,0.149,0.000251934864961117
"Asphd1",7.80713404554531e-09,1.33947698346392,0.464,0.232,0.00025205332266043
"Zdhhc2",7.80786244235068e-09,0.963013643144802,0.652,0.425,0.000252076838951292
"Mir100hg",7.82017609320679e-09,1.26989611456868,0.505,0.26,0.000252474385169181
"Ugt8a",7.85260708563146e-09,-1.0320712385878,0.47,0.663,0.000253521419759612
"Slitrk5",7.92858347766693e-09,0.995555138594826,0.643,0.398,0.000255974317576477
"Slc25a39",7.95654216899626e-09,0.806465338718084,0.781,0.558,0.000256876963926044
"Mmadhc",7.98286010644957e-09,0.907653659811443,0.661,0.459,0.000257726638536724
"Mllt6",7.99075960906161e-09,0.855526684318157,0.715,0.503,0.000257981673978554
"Usp12",8.03160966893542e-09,1.10843269187456,0.571,0.337,0.00025930051816158
"Pik3c3",8.08136332152346e-09,1.01396186901752,0.614,0.409,0.000260906814835385
"Smarca5",8.13073094787131e-09,1.01297298279674,0.636,0.381,0.000262500648652025
"Kctd1",8.1855562792264e-09,0.875364270724473,0.718,0.525,0.000264270684474824
"Rnf6",8.19238216690396e-09,1.05381310731124,0.586,0.365,0.000264491058258494
"Brms1l",8.19332357092757e-09,0.982408665010343,0.636,0.42,0.000264521451487396
"Ndufaf5",8.21678209959095e-09,0.981175065071232,0.611,0.431,0.000265278810085294
"Lclat1",8.24202958718994e-09,1.72533171447295,0.382,0.138,0.000266093925222427
"Nsa2",8.31109299693556e-09,0.760200272635288,0.796,0.597,0.000268323637406065
"Mrpl35",8.34353194181938e-09,1.14121061059182,0.567,0.304,0.000269370928741639
"Rora",8.34725589995703e-09,1.26732217090485,0.508,0.293,0.000269491156730113
"Cd2bp2",8.37528536405275e-09,0.919398867484542,0.668,0.442,0.000270396087978443
"Evi5",8.41843465561527e-09,1.13065073121579,0.574,0.315,0.000271789162856539
"Ankrd29",8.42491405642229e-09,1.61539268059444,0.404,0.16,0.000271998350311594
"Plec",8.43055362710863e-09,0.841396355483269,0.752,0.497,0.000272180423851202
